,Menu,Day,Promotion,Month,Total_Qty,Sales_Status,Year,Date
3051,Latte,Sunday,No,4,21,Less Popular,2024,2024-04-21
3052,Croissant,Sunday,No,4,23,Best Seller,2024,2024-04-21
3053,Mocha,Sunday,No,4,16,Less Popular,2024,2024-04-21
3054,Espresso,Sunday,No,4,6,Less Popular,2024,2024-04-21
3055,Burger,Sunday,No,4,26,Best Seller,2024,2024-04-21
3056,Taro Latte,Sunday,Yes,4,19,Best Seller,2024,2024-04-21
3057,Red Velvet Cake,Sunday,No,4,16,Best Seller,2024,2024-04-21
3058,Mocha,Sunday,Yes,4,13,Less Popular,2024,2024-04-21
3059,Muffin,Sunday,No,4,20,Best Seller,2024,2024-04-21
3060,Iced Americano,Sunday,No,4,25,Less Popular,2024,2024-04-21
3061,Peach Tea,Sunday,No,4,27,Best Seller,2024,2024-04-21
3062,Sandwich,Sunday,No,4,21,Best Seller,2024,2024-04-21
3063,Vietnamese Coffee,Sunday,No,4,13,Best Seller,2024,2024-04-21
3064,Mineral Water,Sunday,No,4,18,Best Seller,2024,2024-04-21
3065,Macchiato,Sunday,No,4,8,Less Popular,2024,2024-04-21
3066,Lemon Tea,Sunday,No,4,30,Best Seller,2024,2024-04-21
3067,Burger,Sunday,No,4,19,Best Seller,2024,2024-04-21
3068,Affogato,Sunday,No,4,10,Best Seller,2024,2024-04-21
3069,Iced Latte,Monday,Yes,4,35,Best Seller,2024,2024-04-22
3070,Iced Americano,Monday,Yes,4,63,Best Seller,2024,2024-04-22
3071,Red Velvet Cake,Monday,No,4,10,Less Popular,2024,2024-04-22
3072,Sandwich,Monday,Yes,4,14,Best Seller,2024,2024-04-22
3073,Croissant,Monday,No,4,18,Less Popular,2024,2024-04-22
3074,Tea Latte,Monday,Yes,4,9,Less Popular,2024,2024-04-22
3075,Chocolate,Monday,No,4,15,Less Popular,2024,2024-04-22
3076,Lychee Tea,Monday,No,4,20,Less Popular,2024,2024-04-22
3077,Lychee Tea,Monday,Yes,4,31,Best Seller,2024,2024-04-22
3078,Cold Brew,Monday,No,4,19,Best Seller,2024,2024-04-22
3079,Espresso,Monday,No,4,7,Less Popular,2024,2024-04-22
3080,Chicken Wings,Monday,No,4,14,Less Popular,2024,2024-04-22
3081,Red Velvet Cake,Monday,No,4,10,Less Popular,2024,2024-04-22
3082,Cold Brew,Monday,Yes,4,26,Best Seller,2024,2024-04-22
3083,Cookies,Monday,No,4,13,Less Popular,2024,2024-04-22
3084,Latte,Monday,Yes,4,21,Less Popular,2024,2024-04-22
3085,Cinnamon Roll,Monday,No,4,15,Less Popular,2024,2024-04-22
3086,Taro Latte,Monday,No,4,10,Less Popular,2024,2024-04-22
3087,Pain au Chocolat,Tuesday,Yes,4,15,Best Seller,2024,2024-04-23
3088,Espresso,Tuesday,Yes,4,15,Best Seller,2024,2024-04-23
3089,Muffin,Tuesday,No,4,12,Less Popular,2024,2024-04-23
3090,Lemon Tea,Tuesday,No,4,19,Less Popular,2024,2024-04-23
3091,Mocha,Tuesday,No,4,13,Less Popular,2024,2024-04-23
3092,Americano,Tuesday,No,4,16,Less Popular,2024,2024-04-23
3093,Flat White,Tuesday,No,4,12,Less Popular,2024,2024-04-23
3094,Mocha,Tuesday,No,4,14,Less Popular,2024,2024-04-23
3095,Peach Tea,Tuesday,No,4,15,Less Popular,2024,2024-04-23
3096,Donut,Tuesday,No,4,19,Less Popular,2024,2024-04-23
3097,Lychee Tea,Tuesday,Yes,4,29,Best Seller,2024,2024-04-23
3098,Es Kopi Susu Gula Aren,Tuesday,No,4,35,Best Seller,2024,2024-04-23
3099,Croissant,Tuesday,No,4,14,Less Popular,2024,2024-04-23
3100,Burger,Tuesday,No,4,16,Less Popular,2024,2024-04-23
3101,Muffin,Tuesday,No,4,15,Less Popular,2024,2024-04-23
3102,Es Kopi Susu Gula Aren,Tuesday,Yes,4,38,Best Seller,2024,2024-04-23
3103,Americano,Tuesday,Yes,4,27,Best Seller,2024,2024-04-23
3104,Croissant,Tuesday,No,4,16,Less Popular,2024,2024-04-23
3105,Burger,Tuesday,Yes,4,15,Best Seller,2024,2024-04-23
3106,Latte,Tuesday,Yes,4,24,Less Popular,2024,2024-04-23
3107,Latte,Tuesday,No,4,16,Less Popular,2024,2024-04-23
3108,Brownies,Tuesday,Yes,4,15,Best Seller,2024,2024-04-23
3109,Flat White,Tuesday,Yes,4,13,Less Popular,2024,2024-04-23
3110,Tiramisu,Tuesday,Yes,4,12,Less Popular,2024,2024-04-23
3111,Macchiato,Tuesday,Yes,4,18,Best Seller,2024,2024-04-23
3112,Vietnamese Coffee,Tuesday,No,4,12,Best Seller,2024,2024-04-23
3113,Sandwich,Tuesday,Yes,4,16,Best Seller,2024,2024-04-23
3114,Brownies,Tuesday,No,4,13,Less Popular,2024,2024-04-23
3115,Lemon Tea,Tuesday,No,4,20,Less Popular,2024,2024-04-23
3116,Mocha,Tuesday,Yes,4,17,Less Popular,2024,2024-04-23
3117,Brownies,Tuesday,No,4,15,Less Popular,2024,2024-04-23
3118,Iced Latte,Wednesday,No,4,27,Best Seller,2024,2024-04-24
3119,Croissant,Wednesday,No,4,14,Less Popular,2024,2024-04-24
3120,French Fries,Wednesday,Yes,4,24,Best Seller,2024,2024-04-24
3121,Donut,Wednesday,No,4,18,Less Popular,2024,2024-04-24
3122,Flat White,Wednesday,No,4,13,Less Popular,2024,2024-04-24
3123,Espresso,Wednesday,Yes,4,15,Best Seller,2024,2024-04-24
3124,Vietnamese Coffee,Wednesday,No,4,14,Best Seller,2024,2024-04-24
3125,Cheesecake,Wednesday,No,4,11,Less Popular,2024,2024-04-24
3126,Chocolate,Wednesday,No,4,15,Less Popular,2024,2024-04-24
3127,Lemon Tea,Wednesday,No,4,21,Less Popular,2024,2024-04-24
3128,Cold Brew,Wednesday,No,4,17,Best Seller,2024,2024-04-24
3129,Green Tea,Wednesday,Yes,4,21,Best Seller,2024,2024-04-24
3130,Taro Latte,Wednesday,Yes,4,15,Less Popular,2024,2024-04-24
3131,Americano,Wednesday,No,4,18,Less Popular,2024,2024-04-24
3132,Red Velvet Cake,Wednesday,No,4,9,Less Popular,2024,2024-04-24
3133,Muffin,Wednesday,Yes,4,13,Best Seller,2024,2024-04-24
3134,Matcha Latte,Wednesday,No,4,16,Less Popular,2024,2024-04-24
3135,Lemon Tea,Wednesday,No,4,20,Less Popular,2024,2024-04-24
3136,Red Velvet Latte,Wednesday,No,4,12,Less Popular,2024,2024-04-24
3137,Flat White,Wednesday,No,4,12,Less Popular,2024,2024-04-24
3138,Tea Latte,Wednesday,No,4,6,Less Popular,2024,2024-04-24
3139,Donut,Wednesday,Yes,4,26,Best Seller,2024,2024-04-24
3140,Cold Brew,Wednesday,No,4,22,Best Seller,2024,2024-04-24
3141,Americano,Wednesday,Yes,4,29,Best Seller,2024,2024-04-24
3142,Affogato,Wednesday,No,4,6,Less Popular,2024,2024-04-24
3143,Macchiato,Wednesday,No,4,13,Less Popular,2024,2024-04-24
3144,Tiramisu,Wednesday,No,4,11,Less Popular,2024,2024-04-24
3145,Burger,Wednesday,No,4,14,Less Popular,2024,2024-04-24
3146,Vietnamese Coffee,Wednesday,No,4,12,Best Seller,2024,2024-04-24
3147,Americano,Wednesday,Yes,4,30,Best Seller,2024,2024-04-24
3148,Burger,Wednesday,No,4,14,Less Popular,2024,2024-04-24
3149,Iced Americano,Thursday,No,4,30,Best Seller,2024,2024-04-25
3150,Chicken Wings,Thursday,Yes,4,17,Best Seller,2024,2024-04-25
3151,Cheesecake,Thursday,Yes,4,11,Best Seller,2024,2024-04-25
3152,Tea Latte,Thursday,Yes,4,10,Less Popular,2024,2024-04-25
3153,Brownies,Thursday,Yes,4,18,Best Seller,2024,2024-04-25
3154,Matcha Latte,Thursday,Yes,4,18,Less Popular,2024,2024-04-25
3155,Flat White,Thursday,No,4,13,Less Popular,2024,2024-04-25
3156,Iced Americano,Thursday,No,4,33,Best Seller,2024,2024-04-25
3157,Es Kopi Susu Gula Aren,Thursday,No,4,28,Best Seller,2024,2024-04-25
3158,Sandwich,Thursday,Yes,4,14,Best Seller,2024,2024-04-25
3159,Tea Latte,Thursday,No,4,6,Less Popular,2024,2024-04-25
3160,Sandwich,Thursday,No,4,12,Less Popular,2024,2024-04-25
3161,Lychee Tea,Thursday,Yes,4,27,Best Seller,2024,2024-04-25
3162,Red Velvet Latte,Thursday,No,4,14,Less Popular,2024,2024-04-25
3163,Cookies,Thursday,Yes,4,22,Best Seller,2024,2024-04-25
3164,Cappuccino,Thursday,No,4,19,Less Popular,2024,2024-04-25
3165,Tiramisu,Thursday,No,4,12,Less Popular,2024,2024-04-25
3166,Burger,Thursday,No,4,16,Less Popular,2024,2024-04-25
3167,Cold Brew,Thursday,No,4,16,Best Seller,2024,2024-04-25
3168,Mineral Water,Thursday,No,4,13,Less Popular,2024,2024-04-25
3169,Espresso,Thursday,Yes,4,13,Best Seller,2024,2024-04-25
3170,Macchiato,Thursday,No,4,15,Less Popular,2024,2024-04-25
3171,Affogato,Thursday,No,4,7,Less Popular,2024,2024-04-25
3172,Toast,Friday,No,4,17,Less Popular,2024,2024-04-26
3173,Iced Latte,Friday,No,4,23,Best Seller,2024,2024-04-26
3174,Toast,Friday,No,4,22,Less Popular,2024,2024-04-26
3175,Affogato,Friday,Yes,4,7,Less Popular,2024,2024-04-26
3176,Brownies,Friday,No,4,15,Best Seller,2024,2024-04-26
3177,Burger,Friday,Yes,4,16,Best Seller,2024,2024-04-26
3178,Matcha Latte,Friday,No,4,18,Less Popular,2024,2024-04-26
3179,Toast,Friday,Yes,4,20,Best Seller,2024,2024-04-26
3180,Cappuccino,Friday,No,4,17,Less Popular,2024,2024-04-26
3181,Tea Latte,Friday,No,4,8,Less Popular,2024,2024-04-26
3182,Green Tea,Friday,No,4,17,Best Seller,2024,2024-04-26
3183,Cold Brew,Friday,No,4,18,Best Seller,2024,2024-04-26
3184,Espresso,Friday,No,4,7,Less Popular,2024,2024-04-26
3185,Es Kopi Susu Gula Aren,Friday,No,4,27,Best Seller,2024,2024-04-26
3186,Americano,Friday,No,4,15,Less Popular,2024,2024-04-26
3187,Cappuccino,Friday,Yes,4,23,Less Popular,2024,2024-04-26
3188,Matcha Latte,Friday,Yes,4,17,Less Popular,2024,2024-04-26
3189,Americano,Friday,No,4,15,Less Popular,2024,2024-04-26
3190,Red Velvet Latte,Friday,No,4,16,Less Popular,2024,2024-04-26
3191,Macchiato,Friday,No,4,12,Less Popular,2024,2024-04-26
3192,Green Tea,Friday,Yes,4,18,Best Seller,2024,2024-04-26
3193,Sandwich,Friday,No,4,16,Best Seller,2024,2024-04-26
3194,Sandwich,Friday,Yes,4,17,Best Seller,2024,2024-04-26
3195,Vietnamese Coffee,Friday,Yes,4,18,Best Seller,2024,2024-04-26
3196,Chocolate,Friday,No,4,17,Less Popular,2024,2024-04-26
3197,Americano,Friday,No,4,14,Less Popular,2024,2024-04-26
3198,Donut,Friday,No,4,24,Less Popular,2024,2024-04-26
3199,Espresso,Friday,No,4,8,Less Popular,2024,2024-04-26
3200,Croissant,Friday,No,4,18,Less Popular,2024,2024-04-26
3201,Tiramisu,Friday,Yes,4,18,Best Seller,2024,2024-04-26
3202,Es Kopi Susu Gula Aren,Friday,No,4,34,Best Seller,2024,2024-04-26
3203,Cheesecake,Friday,No,4,13,Best Seller,2024,2024-04-26
3204,Affogato,Friday,Yes,4,8,Less Popular,2024,2024-04-26
3205,Donut,Friday,Yes,4,21,Best Seller,2024,2024-04-26
3206,Macchiato,Friday,No,4,14,Less Popular,2024,2024-04-26
3207,Green Tea,Friday,Yes,4,21,Best Seller,2024,2024-04-26
3208,Cappuccino,Friday,Yes,4,21,Less Popular,2024,2024-04-26
3209,Macchiato,Friday,No,4,13,Less Popular,2024,2024-04-26
3210,Cheesecake,Friday,No,4,13,Best Seller,2024,2024-04-26
3211,Tiramisu,Saturday,Yes,4,20,Best Seller,2024,2024-04-27
3212,Toast,Saturday,No,4,30,Best Seller,2024,2024-04-27
3213,Cheesecake,Saturday,Yes,4,19,Best Seller,2024,2024-04-27
3214,Espresso,Saturday,Yes,4,5,Less Popular,2024,2024-04-27
3215,Red Velvet Latte,Saturday,Yes,4,23,Best Seller,2024,2024-04-27
3216,Green Tea,Saturday,No,4,20,Best Seller,2024,2024-04-27
3217,Cinnamon Roll,Saturday,No,4,24,Best Seller,2024,2024-04-27
3218,Macchiato,Saturday,Yes,4,9,Less Popular,2024,2024-04-27
3219,Sandwich,Saturday,Yes,4,18,Best Seller,2024,2024-04-27
3220,Latte,Saturday,No,4,19,Less Popular,2024,2024-04-27
3221,Iced Americano,Saturday,Yes,4,23,Less Popular,2024,2024-04-27
3222,Red Velvet Latte,Saturday,No,4,17,Best Seller,2024,2024-04-27
3223,Cold Brew,Saturday,Yes,4,11,Less Popular,2024,2024-04-27
3224,Vietnamese Coffee,Saturday,No,4,15,Best Seller,2024,2024-04-27
3225,Lychee Tea,Saturday,No,4,38,Best Seller,2024,2024-04-27
3226,Peach Tea,Saturday,Yes,4,29,Best Seller,2024,2024-04-27
3227,Lychee Tea,Saturday,No,4,34,Best Seller,2024,2024-04-27
3228,Red Velvet Cake,Saturday,No,4,19,Best Seller,2024,2024-04-27
3229,Toast,Saturday,Yes,4,27,Best Seller,2024,2024-04-27
3230,Cold Brew,Saturday,No,4,12,Less Popular,2024,2024-04-27
3231,Latte,Saturday,No,4,19,Less Popular,2024,2024-04-27
3232,Burger,Saturday,Yes,4,27,Best Seller,2024,2024-04-27
3233,Peach Tea,Saturday,No,4,26,Best Seller,2024,2024-04-27
3234,Cold Brew,Saturday,No,4,15,Less Popular,2024,2024-04-27
3235,Cookies,Saturday,No,4,26,Best Seller,2024,2024-04-27
3236,Peach Tea,Saturday,No,4,25,Best Seller,2024,2024-04-27
3237,Latte,Saturday,No,4,19,Less Popular,2024,2024-04-27
3238,Burger,Saturday,No,4,23,Best Seller,2024,2024-04-27
3239,Lemon Tea,Saturday,No,4,26,Best Seller,2024,2024-04-27
3240,Iced Latte,Saturday,Yes,4,26,Best Seller,2024,2024-04-27
3241,Matcha Latte,Sunday,Yes,4,20,Best Seller,2024,2024-04-28
3242,Lemon Tea,Sunday,Yes,4,30,Best Seller,2024,2024-04-28
3243,Espresso,Sunday,No,4,5,Less Popular,2024,2024-04-28
3244,Toast,Sunday,No,4,22,Best Seller,2024,2024-04-28
3245,Donut,Sunday,Yes,4,29,Best Seller,2024,2024-04-28
3246,Peach Tea,Sunday,No,4,27,Best Seller,2024,2024-04-28
3247,Spaghetti,Sunday,No,4,18,Best Seller,2024,2024-04-28
3248,Burger,Sunday,No,4,23,Best Seller,2024,2024-04-28
3249,Burger,Sunday,No,4,19,Best Seller,2024,2024-04-28
3250,French Fries,Sunday,No,4,31,Best Seller,2024,2024-04-28
3251,Iced Latte,Sunday,No,4,29,Best Seller,2024,2024-04-28
3252,Lychee Tea,Sunday,Yes,4,35,Best Seller,2024,2024-04-28
3253,Muffin,Sunday,Yes,4,18,Best Seller,2024,2024-04-28
3254,Taro Latte,Sunday,No,4,16,Best Seller,2024,2024-04-28
3255,Macchiato,Sunday,Yes,4,10,Less Popular,2024,2024-04-28
3256,Muffin,Sunday,No,4,21,Best Seller,2024,2024-04-28
3257,Cookies,Sunday,Yes,4,27,Best Seller,2024,2024-04-28
3258,Flat White,Sunday,No,4,14,Less Popular,2024,2024-04-28
3259,Chicken Wings,Sunday,No,4,24,Best Seller,2024,2024-04-28
3260,Tea Latte,Sunday,No,4,14,Best Seller,2024,2024-04-28
3261,Cold Brew,Sunday,Yes,4,10,Less Popular,2024,2024-04-28
3262,Lemon Tea,Sunday,No,4,26,Best Seller,2024,2024-04-28
3263,Macchiato,Sunday,Yes,4,9,Less Popular,2024,2024-04-28
3264,Mocha,Sunday,No,4,15,Less Popular,2024,2024-04-28
3265,Red Velvet Cake,Sunday,Yes,4,21,Best Seller,2024,2024-04-28
3266,Chocolate,Sunday,Yes,4,24,Best Seller,2024,2024-04-28
3267,French Fries,Sunday,No,4,32,Best Seller,2024,2024-04-28
3268,Cinnamon Roll,Sunday,No,4,22,Best Seller,2024,2024-04-28
3269,Sandwich,Sunday,Yes,4,22,Best Seller,2024,2024-04-28
3270,Americano,Monday,No,4,17,Less Popular,2024,2024-04-29
3271,Sandwich,Monday,No,4,11,Less Popular,2024,2024-04-29
3272,Iced Latte,Monday,Yes,4,34,Best Seller,2024,2024-04-29
3273,Matcha Latte,Monday,No,4,12,Less Popular,2024,2024-04-29
3274,Spaghetti,Monday,No,4,11,Less Popular,2024,2024-04-29
3275,Sandwich,Monday,No,4,13,Less Popular,2024,2024-04-29
3276,Muffin,Monday,No,4,14,Less Popular,2024,2024-04-29
3277,Red Velvet Latte,Monday,No,4,13,Less Popular,2024,2024-04-29
3278,Burger,Monday,No,4,12,Less Popular,2024,2024-04-29
3279,Cookies,Monday,Yes,4,19,Best Seller,2024,2024-04-29
3280,Iced Americano,Monday,No,4,32,Best Seller,2024,2024-04-29
3281,Cookies,Monday,No,4,17,Less Popular,2024,2024-04-29
3282,Espresso,Monday,Yes,4,14,Best Seller,2024,2024-04-29
3283,Brownies,Monday,No,4,16,Less Popular,2024,2024-04-29
3284,Cookies,Monday,No,4,15,Less Popular,2024,2024-04-29
3285,Muffin,Monday,No,4,13,Less Popular,2024,2024-04-29
3286,Burger,Monday,No,4,13,Less Popular,2024,2024-04-29
3287,Cinnamon Roll,Monday,No,4,16,Less Popular,2024,2024-04-29
3288,Sandwich,Monday,No,4,13,Less Popular,2024,2024-04-29
3289,Cheesecake,Tuesday,No,4,11,Less Popular,2024,2024-04-30
3290,Muffin,Tuesday,No,4,13,Less Popular,2024,2024-04-30
3291,Spaghetti,Tuesday,Yes,4,12,Less Popular,2024,2024-04-30
3292,Spaghetti,Tuesday,No,4,11,Less Popular,2024,2024-04-30
3293,Lychee Tea,Tuesday,No,4,24,Less Popular,2024,2024-04-30
3294,Latte,Tuesday,No,4,16,Less Popular,2024,2024-04-30
3295,Taro Latte,Tuesday,No,4,10,Less Popular,2024,2024-04-30
3296,Tea Latte,Tuesday,No,4,8,Less Popular,2024,2024-04-30
3297,Spaghetti,Tuesday,No,4,11,Less Popular,2024,2024-04-30
3298,Mocha,Tuesday,Yes,4,18,Less Popular,2024,2024-04-30
3299,Green Tea,Tuesday,No,4,12,Less Popular,2024,2024-04-30
3300,Taro Latte,Tuesday,No,4,11,Less Popular,2024,2024-04-30
3301,Americano,Tuesday,No,4,16,Less Popular,2024,2024-04-30
3302,Cookies,Tuesday,No,4,15,Less Popular,2024,2024-04-30
3303,Espresso,Tuesday,Yes,4,12,Best Seller,2024,2024-04-30
3304,Matcha Latte,Tuesday,No,4,14,Less Popular,2024,2024-04-30
3305,Donut,Wednesday,No,5,18,Less Popular,2024,2024-05-01
3306,Burger,Wednesday,Yes,5,14,Best Seller,2024,2024-05-01
3307,French Fries,Wednesday,No,5,20,Less Popular,2024,2024-05-01
3308,Cheesecake,Wednesday,Yes,5,11,Best Seller,2024,2024-05-01
3309,Cheesecake,Wednesday,No,5,12,Less Popular,2024,2024-05-01
3310,Pain au Chocolat,Wednesday,Yes,5,19,Best Seller,2024,2024-05-01
3311,Red Velvet Cake,Wednesday,Yes,5,10,Less Popular,2024,2024-05-01
3312,Pain au Chocolat,Wednesday,Yes,5,19,Best Seller,2024,2024-05-01
3313,Red Velvet Cake,Wednesday,No,5,10,Less Popular,2024,2024-05-01
3314,Cold Brew,Wednesday,No,5,20,Best Seller,2024,2024-05-01
3315,Mineral Water,Wednesday,Yes,5,17,Best Seller,2024,2024-05-01
3316,Croissant,Wednesday,Yes,5,22,Best Seller,2024,2024-05-01
3317,Vietnamese Coffee,Wednesday,No,5,15,Best Seller,2024,2024-05-01
3318,Burger,Wednesday,Yes,5,15,Best Seller,2024,2024-05-01
3319,Tiramisu,Wednesday,No,5,11,Less Popular,2024,2024-05-01
3320,Flat White,Wednesday,No,5,11,Less Popular,2024,2024-05-01
3321,Taro Latte,Wednesday,No,5,11,Less Popular,2024,2024-05-01
3322,Cappuccino,Wednesday,Yes,5,21,Best Seller,2024,2024-05-01
3323,Americano,Wednesday,No,5,15,Less Popular,2024,2024-05-01
3324,Flat White,Wednesday,Yes,5,14,Less Popular,2024,2024-05-01
3325,Lemon Tea,Wednesday,Yes,5,24,Best Seller,2024,2024-05-01
3326,Burger,Wednesday,Yes,5,16,Best Seller,2024,2024-05-01
3327,Peach Tea,Wednesday,No,5,16,Less Popular,2024,2024-05-01
3328,Red Velvet Cake,Wednesday,Yes,5,11,Less Popular,2024,2024-05-01
3329,Vietnamese Coffee,Wednesday,No,5,11,Best Seller,2024,2024-05-01
3330,Red Velvet Latte,Wednesday,No,5,10,Less Popular,2024,2024-05-01
3331,Affogato,Thursday,Yes,5,6,Less Popular,2024,2024-05-02
3332,Spaghetti,Thursday,No,5,12,Less Popular,2024,2024-05-02
3333,Green Tea,Thursday,Yes,5,18,Best Seller,2024,2024-05-02
3334,Cinnamon Roll,Thursday,Yes,5,13,Best Seller,2024,2024-05-02
3335,Green Tea,Thursday,No,5,12,Less Popular,2024,2024-05-02
3336,Sandwich,Thursday,No,5,15,Less Popular,2024,2024-05-02
3337,Spaghetti,Thursday,No,5,12,Less Popular,2024,2024-05-02
3338,Tiramisu,Thursday,Yes,5,13,Less Popular,2024,2024-05-02
3339,Matcha Latte,Thursday,No,5,12,Less Popular,2024,2024-05-02
3340,Peach Tea,Thursday,No,5,16,Less Popular,2024,2024-05-02
3341,Croissant,Thursday,Yes,5,21,Best Seller,2024,2024-05-02
3342,Espresso,Thursday,No,5,10,Less Popular,2024,2024-05-02
3343,Matcha Latte,Thursday,Yes,5,14,Less Popular,2024,2024-05-02
3344,Iced Americano,Thursday,No,5,34,Best Seller,2024,2024-05-02
3345,Cheesecake,Thursday,No,5,10,Less Popular,2024,2024-05-02
3346,Latte,Thursday,No,5,16,Less Popular,2024,2024-05-02
3347,Lemon Tea,Thursday,Yes,5,25,Best Seller,2024,2024-05-02
3348,Cookies,Thursday,No,5,15,Less Popular,2024,2024-05-02
3349,Macchiato,Thursday,No,5,14,Less Popular,2024,2024-05-02
3350,Americano,Thursday,Yes,5,27,Best Seller,2024,2024-05-02
3351,Toast,Thursday,No,5,15,Less Popular,2024,2024-05-02
3352,Pain au Chocolat,Thursday,Yes,5,16,Best Seller,2024,2024-05-02
3353,Macchiato,Friday,No,5,14,Less Popular,2024,2024-05-03
3354,Spaghetti,Friday,No,5,15,Best Seller,2024,2024-05-03
3355,Tiramisu,Friday,Yes,5,12,Best Seller,2024,2024-05-03
3356,Spaghetti,Friday,Yes,5,15,Best Seller,2024,2024-05-03
3357,Donut,Friday,Yes,5,24,Best Seller,2024,2024-05-03
3358,Peach Tea,Friday,No,5,22,Best Seller,2024,2024-05-03
3359,Mocha,Friday,No,5,13,Less Popular,2024,2024-05-03
3360,Peach Tea,Friday,No,5,17,Best Seller,2024,2024-05-03
3361,Croissant,Friday,No,5,18,Less Popular,2024,2024-05-03
3362,Matcha Latte,Friday,No,5,17,Less Popular,2024,2024-05-03
3363,Lychee Tea,Friday,Yes,5,32,Best Seller,2024,2024-05-03
3364,Affogato,Friday,No,5,7,Less Popular,2024,2024-05-03
3365,Mineral Water,Friday,Yes,5,18,Best Seller,2024,2024-05-03
3366,Macchiato,Friday,No,5,12,Less Popular,2024,2024-05-03
3367,Chocolate,Friday,No,5,17,Less Popular,2024,2024-05-03
3368,Affogato,Friday,No,5,7,Less Popular,2024,2024-05-03
3369,Red Velvet Latte,Friday,No,5,15,Less Popular,2024,2024-05-03
3370,Red Velvet Cake,Friday,No,5,13,Best Seller,2024,2024-05-03
3371,Toast,Friday,No,5,17,Less Popular,2024,2024-05-03
3372,Latte,Friday,Yes,5,21,Less Popular,2024,2024-05-03
3373,Cheesecake,Friday,Yes,5,13,Best Seller,2024,2024-05-03
3374,Sandwich,Friday,No,5,16,Best Seller,2024,2024-05-03
3375,Burger,Friday,No,5,16,Best Seller,2024,2024-05-03
3376,Pain au Chocolat,Friday,No,5,15,Less Popular,2024,2024-05-03
3377,Matcha Latte,Friday,No,5,19,Less Popular,2024,2024-05-03
3378,Chicken Wings,Friday,No,5,19,Best Seller,2024,2024-05-03
3379,Cheesecake,Friday,No,5,13,Best Seller,2024,2024-05-03
3380,Burger,Saturday,No,5,24,Best Seller,2024,2024-05-04
3381,Red Velvet Cake,Saturday,No,5,16,Best Seller,2024,2024-05-04
3382,Matcha Latte,Saturday,Yes,5,29,Best Seller,2024,2024-05-04
3383,Iced Latte,Saturday,No,5,29,Best Seller,2024,2024-05-04
3384,Cheesecake,Saturday,Yes,5,20,Best Seller,2024,2024-05-04
3385,Donut,Saturday,Yes,5,29,Best Seller,2024,2024-05-04
3386,Cold Brew,Saturday,Yes,5,11,Less Popular,2024,2024-05-04
3387,Chocolate,Saturday,No,5,24,Best Seller,2024,2024-05-04
3388,Red Velvet Latte,Saturday,No,5,17,Best Seller,2024,2024-05-04
3389,Toast,Saturday,No,5,26,Best Seller,2024,2024-05-04
3390,Spaghetti,Saturday,No,5,23,Best Seller,2024,2024-05-04
3391,Cappuccino,Saturday,No,5,17,Less Popular,2024,2024-05-04
3392,Espresso,Saturday,No,5,5,Less Popular,2024,2024-05-04
3393,Red Velvet Cake,Saturday,No,5,18,Best Seller,2024,2024-05-04
3394,Espresso,Saturday,Yes,5,6,Less Popular,2024,2024-05-04
3395,Affogato,Saturday,No,5,11,Best Seller,2024,2024-05-04
3396,Toast,Saturday,No,5,23,Best Seller,2024,2024-05-04
3397,Espresso,Saturday,No,5,5,Less Popular,2024,2024-05-04
3398,Americano,Saturday,Yes,5,11,Less Popular,2024,2024-05-04
3399,Cheesecake,Saturday,Yes,5,14,Best Seller,2024,2024-05-04
3400,Muffin,Saturday,Yes,5,24,Best Seller,2024,2024-05-04
3401,Mineral Water,Saturday,Yes,5,21,Best Seller,2024,2024-05-04
3402,Red Velvet Latte,Saturday,Yes,5,18,Best Seller,2024,2024-05-04
3403,Latte,Saturday,No,5,20,Less Popular,2024,2024-05-04
3404,Cinnamon Roll,Saturday,No,5,23,Best Seller,2024,2024-05-04
3405,Donut,Saturday,Yes,5,33,Best Seller,2024,2024-05-04
3406,Lychee Tea,Saturday,No,5,26,Best Seller,2024,2024-05-04
3407,Red Velvet Cake,Saturday,No,5,21,Best Seller,2024,2024-05-04
3408,Cookies,Saturday,No,5,27,Best Seller,2024,2024-05-04
3409,Flat White,Saturday,No,5,12,Less Popular,2024,2024-05-04
3410,Toast,Saturday,No,5,24,Best Seller,2024,2024-05-04
3411,Vietnamese Coffee,Sunday,No,5,16,Best Seller,2024,2024-05-05
3412,Spaghetti,Sunday,No,5,23,Best Seller,2024,2024-05-05
3413,Lemon Tea,Sunday,No,5,31,Best Seller,2024,2024-05-05
3414,Latte,Sunday,No,5,18,Less Popular,2024,2024-05-05
3415,French Fries,Sunday,No,5,27,Best Seller,2024,2024-05-05
3416,Lychee Tea,Sunday,No,5,41,Best Seller,2024,2024-05-05
3417,Iced Latte,Sunday,No,5,29,Best Seller,2024,2024-05-05
3418,Muffin,Sunday,No,5,22,Best Seller,2024,2024-05-05
3419,Mineral Water,Sunday,Yes,5,20,Best Seller,2024,2024-05-05
3420,Brownies,Sunday,No,5,24,Best Seller,2024,2024-05-05
3421,Croissant,Sunday,Yes,5,26,Best Seller,2024,2024-05-05
3422,Macchiato,Sunday,No,5,8,Less Popular,2024,2024-05-05
3423,Muffin,Sunday,Yes,5,20,Best Seller,2024,2024-05-05
3424,Chocolate,Sunday,Yes,5,23,Best Seller,2024,2024-05-05
3425,Toast,Sunday,No,5,26,Best Seller,2024,2024-05-05
